=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.04.06 16:36:19 =~=~=~=~=~=~=~=~=~=~=~=
Filtered: 1 Exp Smooth Fact: 0.90
X, Y, Z
2, 18, -42
1, 24, -51
21, 17, -33
12, 1, -47
3, 0, -57
28, -9, -47
23, -11, -42
32, -9, -46
21, 0, -60
16, -8, -54
25, -7, -55
14, 7, -48
4, 24, -53
13, 28, -41
10, 29, -47
4, 21, -32
2, 13, -56
5, 5, -55
4, 1, -61
10, 11, -48
31, -1, -58
26, 4, -50
10, -11, -41
13, -4, -49
20, -7, -49
11, -3, -49
17, 5, -62
16, 1, -55
1, 1, -44
12, 14, -46
5, 10, -44
4, 1, -49
11, 19, -40
11, 9, -56
24, 0, -53
19, -4, -53
17, -12, -49
28, -3, -50
16, -17, -48
12, -3, -57
20, 5, -45
5, 7, -58
3, 17, -49
13, 10, -46
11, 5, -46
5, 13, -38
14, 13, -41
14, 13, -39
6, 6, -40
7, 0, -45
7, 10, -53
15, 1, -53
12, -9, -61
18, -1, -70
9, 0, -41
4, 18, -49
2, 5, -50
12, 12, -32
21, 7, -53
17, 15, -40
23, 14, -48
0, 6, -55
15, 3, -51
11, 1, -46
2, -9, -51
22, 0, -45
23, -5, -40
15, -9, -30
15, 0, -52
9, 7, -49
10, 5, -67
10, 7, -59
-1, 24, -29
13, 11, -38
18, 15, -43
13, 6, -51
22, 13, -38
25, 6, -52
8, 4, -52
14, 5, -42
19, 1, -56
19, 0, -53
20, 0, -44
25, 0, -49
22, -1, -52
4, 6, -62
-4, 7, -50
10, 8, -41
4, 1, -40
12, 8, -45
2, 10, -39
10, 8, -50
14, 3, -64
27, 3, -39
18, 1, -48
14, 4, -54
27, 0, -44
18, 1, -50
21, 0, -52
10, 10, -58
5, 14, -50
-1, 9, -48
13, 10, -45
29, 10, -41
0, 11, -49
10, 0, -46
5, 10, -47
6, 10, -47
18, 7, -62
17, 3, -62
18, -11, -44
13, -2, -56
19, -2, -52
24, 3, -46
16, 0, -42
16, 3, -58
13, 8, -54
18, 1, -54
17, 3, -46
6, 3, -46
15, 3, -42
14, 15, -49
8, 6, -48
16, 2, -55
30, 0, -59
21, -6, -53
17, -1, -49
10, -4, -53
13, 4, -57
-2, 6, -53
10, 10, -52
10, 1, -52
19, 17, -46
16, 11, -48
16, 15, -50
12, 5, -39
9, 9, -42
12, -1, -41
21, 4, -55
26, -7, -50
13, 0, -65
12, -9, -49
28, 1, -57
11, 9, -59
22, 2, -58
