=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.04.06 16:37:34 =~=~=~=~=~=~=~=~=~=~=~=
Filtered: 0
X, Y, Z
68, -34, 8316
85, -49, 8299
90, -30, 8302
73, -25, 8313
89, -19, 8298
72, -22, 8296
81, -23, 8295
86, -24, 8307
76, -33, 8314
84, -14, 8308
73, -18, 8302
83, -22, 8301
80, -24, 8290
61, -26, 8319
80, -37, 8310
72, -28, 8311
82, -33, 8302
74, -30, 8302
81, -35, 8312
85, -17, 8307
89, -35, 8311
77, -24, 8295
88, -25, 8312
79, -21, 8303
76, -19, 8294
86, -23, 8295
82, -20, 8317
92, -27, 8317
65, -26, 8309
74, -17, 8305
92, -19, 8306
83, -30, 8305
76, -34, 8298
75, -27, 8301
71, -12, 8298
74, -25, 8298
81, -22, 8304
72, -17, 8302
66, -18, 8298
67, -17, 8299
88, -27, 8303
79, -27, 8298
60, -16, 8305
73, -27, 8303
78, -38, 8303
85, -32, 8309
72, -43, 8318
89, -45, 8311
80, -31, 8305
85, -22, 8316
83, -20, 8291
71, -27, 8305
72, -25, 8304
79, -23, 8318
79, -30, 8313
82, -20, 8291
85, -13, 8318
72, -28, 8315
81, -27, 8297
85, -23, 8299
71, -33, 8296
89, -28, 8298
74, -26, 8307
81, -39, 8314
77, -37, 8311
81, -27, 8303
70, -32, 8309
81, -22, 8307
70, -5, 8296
87, -28, 8293
76, -26, 8311
74, -29, 8308
84, -28, 8306
82, -26, 8301
83, -25, 8304
88, -23, 8304
81, -30, 8308
88, -36, 8312
82, -23, 8307
80, -31, 8306
83, -24, 8290
68, -26, 8317
66, -17, 8293
94, -16, 8309
90, -17, 8304
75, -23, 8310
82, -28, 8304
76, -28, 8308
82, -31, 8299
87, -22, 8292
71, -27, 8317
81, -33, 8304
79, -31, 8308
79, -28, 8318
92, -25, 8301
89, -25, 8294
74, -15, 8310
82, -24, 8299
70, -15, 8295
74, -26, 8292
77, -27, 8301
72, -32, 8307
79, -26, 8302
81, -29, 8308
78, -26, 8300
89, -33, 8312
75, -28, 8305
82, -24, 8299
84, -23, 8311
75, -13, 8291
87, -33, 8303
65, -23, 8307
73, -13, 8297
87, -30, 8308
88, -22, 8301
82, -25, 8299
83, -24, 8294
77, -28, 8315
78, -24, 8307
88, -38, 8313
87, -32, 8304
70, -20, 8297
73, -27, 8288
78, -34, 8322
86, -20, 8302
85, -23, 8296
82, -17, 8303
91, -9, 8315
71, -11, 8299
74, -31, 8310
72, -21, 8294
85, -31, 8312
71, -27, 8286
82, -30, 8313
73, -32, 8305
77, -26, 8303
91, -28, 8304
85, -22, 8302
75, -17, 8296
82, -22, 8297
80, -11, 8312
76, -24, 8300
78, -22, 8303
75, -14, 8304
78, -24, 8304
89, -18, 8317
72, -27, 8294
74, -20, 8312
79, -33, 8302
84, -27, 8298
96, -37, 8319
81, -30, 8311
100, -17, 8309
85, -14, 8305
85, -31, 8298
77, -25, 8287
86, -25, 8302
78, -25, 8299
76, -29, 8305
82, -40, 8281
82, -22, 8296
71, -25, 8305
77, -28, 8311
75, -20, 8313
67, -30, 8326
74, -31, 8313
77, -24, 8304
75, -23, 8308
84, -24, 8294
81, -14, 8308
83, -22, 8294
81, -24, 8298
67, -22, 8311
84, -25, 8295
76, -24, 8300
71, -18, 8304
90, -33, 8309
84, -27, 8308
84, -28, 8301
72, -22, 8313
79, -31, 8305
77, -26, 8305
84, -28, 8313
69, -24, 8322
85, -19, 8290
79, -23, 8291
84, -22, 8316
94, -28, 8307
85, -29, 8313
81, -26, 8301
76, -27, 8305
87, -25, 8289
80, -26, 8309
86, -33, 8308
74, -17, 8302
78, -36, 8300
77, -26, 8310
83, -31, 8302
72, -19, 8302
81, -29, 8312
84, -25, 8308
78, -38, 8312
72, -26, 8309
80, -30, 8301
80, -24, 8291
73, -26, 8305
77, -25, 8296
70, -26, 8314
75, -28, 8312
78, -30, 8310
69, -19, 8313
80, -31, 8305
77, -25, 8305
77, -17, 8320
80, -29, 8294
86, -19, 8310
75, -23, 8291
95, -15, 8295
76, -22, 8314
69, -9, 8288
82, -24, 8295
92, -29, 8302
83, -25, 8301
74, -30, 8311
62, -24, 8313
79, -21, 8292
79, -20, 8301
78, -25, 8305
79, -22, 8307
72, -27, 8313
95, -25, 8295
77, -19, 8312
74, -16, 8294
76, -22, 8310
82, -24, 8289
69, -32, 8317
84, -29, 8309
71, -27, 8309
77, -23, 8317
75, -24, 8301
75, -22, 8299
73, -21, 8299
78, -22, 8281
71, -26, 8307
74, -22, 8299
84, -27, 8296
91, -31, 8300
85, -26, 8310
98, -24, 8312
84, -35, 8326
77, -30, 8303
98, -22, 8313
74, -39, 8312
81, -26, 8298
85, -24, 8289
80, -18, 8306
69, -8, 8292
75, -25, 8301
83, -37, 8309
78, -23, 8293
70, -30, 8309
86, -17, 8305
68, -24, 8304
83, -26, 8302
76, -13, 8307
74, -30, 8297
81, -26, 8298
89, -29, 8304
80, -27, 8303
77, -30, 8305
72, -27, 8305
84, -17, 8302
82, -39, 8310
69, -27, 8301
78, -23, 8288
76, -26, 8310
86, -26, 8296
86, -29, 8285
75, -26, 8304
78, -19, 8301
76, -28, 8302
81, -35, 8307
87, -26, 8306
80, -21, 8300
74, -25, 8301
81, -27, 8301
77, -29, 8304
80, -25, 8300
