=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.04.06 10:12:00 =~=~=~=~=~=~=~=~=~=~=~=
Smoothing factor 0.30
X, Y, Z
3, 2, -12
4, 3, -15
9, 4, -23
9, 6, -24
9, 3, -29
12, 4, -33
10, 5, -33
6, 7, -38
7, 8, -34
6, 5, -34
7, 5, -33
8, 4, -34
8, 4, -32
5, 5, -32
7, 5, -31
5, 5, -36
5, 2, -35
10, 4, -34
13, 7, -31
10, 10, -37
7, 6, -36
7, 6, -40
7, 9, -39
6, 8, -37
5, 7, -37
7, 7, -39
7, 4, -41
7, 4, -38
7, 5, -35
8, 8, -41
9, 10, -40
9, 4, -45
17, 5, -44
17, 8, -41
17, 10, -41
17, 10, -40
13, 9, -40
13, 8, -41
15, 6, -37
8, 10, -35
5, 10, -38
10, 10, -38
10, 8, -41
11, 7, -38
9, 8, -34
9, 10, -34
9, 7, -39
11, 7, -40
11, 7, -37
13, 7, -38
16, 4, -34
15, 5, -34
13, 4, -33
11, 4, -36
15, 2, -32
11, 2, -36
12, 8, -37
10, 8, -31
10, 9, -33
11, 8, -31
12, 9, -30
15, 13, -34
16, 8, -31
12, 13, -37
9, 11, -40
8, 12, -39
12, 8, -35
9, 8, -43
12, 8, -39
12, 7, -39
13, 2, -40
11, 5, -39
13, 7, -38
13, 6, -38
9, 9, -42
12, 9, -41
8, 12, -40
11, 13, -44
8, 8, -40
10, 7, -40
10, 8, -39
12, 5, -40
11, 8, -39
9, 8, -39
8, 8, -41
7, 7, -39
10, 9, -35
14, 10, -31
7, 7, -33
11, 5, -34
9, 5, -36
8, 5, -38
5, 3, -38
4, 3, -35
4, 1, -35
9, 3, -32
8, 3, -33
9, 3, -36
10, 3, -38
10, 3, -38
8, 3, -37
10, 6, -35
14, 5, -33
18, 3, -32
18, 8, -31
14, 9, -32
18, 7, -32
15, 10, -35
16, 10, -35
14, 12, -35
15, 12, -35
17, 13, -35
18, 10, -31
18, 8, -29
16, 11, -31
13, 8, -34
16, 8, -33
16, 8, -31
15, 3, -34
16, 2, -39
17, 0, -36
15, 4, -36
16, 3, -32
17, 6, -35
14, 7, -35
9, 7, -35
11, 6, -38
13, 4, -35
13, 6, -35
14, 3, -35
14, 8, -36
9, 6, -37
13, 7, -41
13, 11, -41
13, 8, -36
14, 7, -33
12, 8, -32
9, 4, -33
11, 1, -32
10, 4, -34
12, 7, -32
16, 7, -33
18, 9, -35
17, 8, -34
17, 8, -32
20, 8, -31
19, 10, -31
14, 10, -33
13, 8, -33
9, 3, -34
5, 4, -38
9, 5, -43
8, 4, -40
11, 7, -43
8, 7, -40
11, 8, -38
9, 8, -38
12, 8, -42
12, 3, -38
13, 4, -38
16, 2, -34
14, 5, -34
15, 6, -33
12, 5, -31
14, 3, -33
15, 4, -37
11, 5, -42
8, 4, -41
7, 6, -41
6, 7, -41
7, 7, -43
6, 8, -44
8, 7, -40
9, 5, -39
7, 4, -39
10, 5, -39
12, 10, -38
12, 8, -41
15, 8, -39
12, 11, -43
13, 10, -37
12, 10, -37
16, 6, -38
19, 8, -36
13, 7, -38
13, 5, -37
11, 7, -35
13, 5, -32
11, 6, -32
9, 5, -35
4, 7, -37
1, 10, -40
1, 10, -40
6, 10, -43
10, 9, -38
10, 11, -36
11, 9, -34
8, 8, -35
8, 10, -33
12, 9, -33
11, 9, -35
10, 11, -35
10, 9, -38
6, 8, -36
4, 6, -39
