=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.03.30 12:05:07 =~=~=~=~=~=~=~=~=~=~=~=
Filtered: 1Exp Smooth Fact: 0.90
X, Y, Z
14, 3, -9
-123, 0, 628
-171, 101, 178
-2, 48, 101
-24, -23, 277
33, 21, -66
-52, 12, -82
1, 7, -12
55, 7, -74
20, -4, 58
-90, 31, 54
-101, 78, 0
-106, 31, 34
-41, 29, -44
547, -305, -154
-212, 31, 21
-558, 226, 1097
-66, -34, 1020
88, -155, -329
41, -28, -238
-23, -29, -26
147, -109, -196
-47, 72, 10
18, -143, 19
-63, 221, -59
-100, -86, 89
9, 135, -58
-5, -94, 43
3, 49, 53
40, -80, -49
-2, -5, 23
14, -32, -7
0, -5, -36
-9, -10, -7
0, -12, -11
-24, 22, -21
-24, -7, -8
1, 1, -23
-8, -14, -23
-14, -5, 19
-7, 1, -7
-7, 0, -14
-11, 5, -11
-11, -6, -11
8, -2, 26
-2, -2, 0
-11, 12, -2
-9, 2, -22
-8, 8, -14
-7, 1, 0
-11, -5, 18
2, -5, -7
3, -5, -20
27, -5, -19
3, 5, -6
0, 5, -2
-18, 9, -6
-9, 8, -29
-19, 4, -5
-16, 9, -3
-27, 9, -21
-18, 1, -9
-12, 0, -16
-4, -2, 6
-6, 3, -12
-19, -1, -8
-17, -5, -19
4, -7, -8
4, -7, 2
13, -5, 1
9, 4, -23
1, 18, -4
18, -10, 0
5, -11, 5
-17, 15, -13
-16, 6, -8
-4, 18, -11
-7, 15, -6
4, 3, 9
-9, -5, -23
-4, -5, -20
-5, -6, -2
9, -10, -23
15, -1, 8
2, 4, 3
-2, 8, -1
5, -1, 2
2, 7, -7
-1, -4, 14
-14, -9, -12
-5, -8, -19
-9, -2, 0
-17, 8, -20
-6, 11, -16
-5, 20, 14
4, 9, 10
-7, 12, -6
11, 18, -4
17, 5, 3
5, 6, 4
-2, -1, 0
-4, 8, -7
0, -10, 2
5, -19, -20
-2, -1, 0
15, -5, 5
-2, -2, -31
-10, 15, -3
-18, 2, -9
-19, 1, 0
-14, 12, 5
-22, 3, -4
-22, 23, 4
-37, 12, -5
-26, 14, -16
-8, 5, -14
0, 6, 0
11, 0, -10
15, -4, 1
22, -8, 0
0, -3, -6
11, -8, -14
0, 4, 8
-5, -11, -6
-11, 0, -11
7, 1, 1
-3, 4, -16
-12, 11, -5
-1, 11, -2
-1, 8, -15
-8, 8, -16
-24, 12, -18
-19, -3, -3
-6, 0, -10
-20, -4, -15
-20, 4, -6
-18, 2, -6
2, 2, -17
-7, 7, 0
1, -6, -4
6, 0, -3
-1, -9, -9
5, 8, -3
2, 1, -1
0, -1, -6
-3, 3, 0
-7, 3, -1
-6, -5, -15
-3, -7, -14
0, 3, -14
5, 1, 7
-2, 2, -4
-3, -1, -5
2, -1, 9
-2, -3, 2
-10, 5, 2
-18, 2, -5
-11, 13, -13
1, 5, -3
-2, 4, -8
-7, 0, 0
0, 6, 0
9, 6, -21
8, 0, 1
4, 0, -20
-3, 8, 0
-5, -8, 0
-11, 2, 0
-5, 0, -11
3, -7, -10
-4, -6, -4
8, -4, -1
3, -4, -7
-2, 9, -5
-9, 4, 16
-9, 4, 9
-17, -3, -11
-9, 10, -6
-8, 0, -2
-4, 8, 6
4, 0, 1
3, 1, -8
21, 6, -4
12, -6, -5
3, 7, -32
-10, 10, -10
-12, 9, 1
-18, -1, 28
-33, 12, 26
-35, -3, -7
-12, 0, -41
-24, -5, -14
-9, -6, -9
-4, -10, 2
0, -11, 2
-6, -16, 25
-11, -3, 22
6, 4, -14
23, 13, 4
37, 10, -27
37, 0, -23
29, 18, -17
30, -4, 2
16, -11, 1
-24, 0, 15
-9, 4, 7
-26, 12, -26
-57, 11, -6
-45, 11, -21
-39, 12, -22
-37, 16, 8
-22, 11, 14
-11, 14, 0
6, 4, -10
10, -3, 0
25, 5, 3
30, -4, -24
30, -4, -7
39, -10, -3
24, -10, 7
18, -28, -4
5, -19, 3
-22, 0, -11
-17, -1, 6
-30, 0, 7
-27, 16, -20
-48, 10, -8
-43, 30, -4
-38, 36, -6
-25, 21, -25
-11, 21, -10
-10, 9, -9
2, 14, -7
13, 0, 5
13, -10, -6
23, -7, 0
19, -13, -14
16, -16, -28
17, -12, -10
11, -12, -10
-6, -21, -14
-9, -17, 1
-12, -2, -6
-11, 12, -4
-20, 13, -13
-20, 18, -17
-16, 33, 8
-16, 16, -1
4, 16, -3
-4, 11, 0
-5, 12, 1
-14, 8, 13
-7, -6, -25
-7, -11, -15
-7, -1, 2
6, -11, -7
-4, -4, 1
-3, 4, -20
-13, -2, -2
-7, 11, -12
3, 2, 6
0, 20, -41
9, 20, 20
-9, 25, 3
-4, 7, 17
-9, 24, 0
9, 13, 0
6, 4, -9
-9, 4, -42
12, -3, 11
1, 3, -14
8, 0, 0
-4, 0, 5
-5, -15, -7
5, 1, 1
-4, -4, -13
