=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.03.30 12:03:54 =~=~=~=~=~=~=~=~=~=~=~=
Filtered: 0
X, Y, Z
140, 43, 8310
300, -237, 8815
84, -22, 8520
45, 6, 8355
130, -2, 8510
72, 68, 8262
86, 38, 8218
29, 47, 8316
48, 42, 8215
37, 3, 8300
33, 40, 8312
88, 9, 8289
76, 41, 8339
144, 22, 8304
119, 7, 8324
139, 28, 8332
571, -271, 6100
271, -57, 7733
124, 99, 8677
73, -32, 8444
100, 23, 8302
189, -19, 8431
49, 62, 8187
64, 35, 8386
101, 51, 8183
29, 107, 8197
73, 23, 8411
59, 110, 8277
99, -26, 8361
86, 66, 8325
105, -2, 8259
106, 28, 8340
93, 31, 8299
92, 35, 8304
107, 6, 8310
112, 0, 8290
110, 20, 8271
105, -12, 8285
111, 7, 8292
90, 1, 8301
68, 15, 8290
79, 33, 8319
63, 20, 8311
84, 36, 8326
74, 40, 8302
86, 27, 8302
87, 54, 8301
100, 45, 8289
99, 42, 8307
103, 55, 8312
101, 37, 8329
98, 7, 8296
94, -11, 8290
112, -24, 8267
96, -39, 8258
107, -35, 8311
102, -24, 8310
100, -5, 8303
92, 31, 8306
101, 36, 8309
94, 115, 8314
72, 137, 8329
91, 65, 8293
39, 78, 8270
99, 30, 8331
85, 22, 8299
84, 59, 8257
134, -21, 8296
127, -36, 8343
91, -51, 8298
85, -49, 8250
116, -53, 8289
96, -32, 8306
91, 9, 8295
104, 27, 8324
116, 63, 8299
119, 50, 8302
110, 96, 8290
130, 112, 8304
121, 84, 8313
109, 73, 8298
62, 70, 8298
57, 39, 8304
80, -11, 8317
37, -25, 8295
32, -26, 8260
25, -49, 8268
34, -31, 8298
40, -12, 8238
81, -15, 8372
77, 41, 8356
78, 34, 8291
169, 5, 8287
147, 47, 8503
139, 58, 8445
192, 22, 8245
131, 73, 8300
146, 72, 8310
127, 74, 8324
110, 69, 8349
91, 57, 8312
71, 17, 8234
98, -28, 8274
67, -17, 8275
54, -41, 8280
67, -44, 8324
47, -18, 8300
43, -9, 8300
58, 13, 8292
67, 32, 8297
83, 64, 8304
112, 53, 8291
121, 67, 8304
135, 64, 8287
146, 57, 8334
137, 53, 8313
145, 42, 8297
111, 4, 8281
105, -7, 8282
101, 5, 8304
66, -12, 8320
63, -13, 8314
58, -12, 8287
64, -12, 8308
62, 13, 8281
57, 31, 8286
81, 34, 8303
102, 49, 8309
107, 59, 8318
102, 64, 8289
104, 68, 8300
115, 50, 8289
116, 30, 8295
104, 9, 8275
120, 2, 8304
112, -8, 8293
108, -12, 8274
96, -6, 8300
97, 8, 8367
87, -18, 8387
78, 2, 8272
51, 12, 8250
90, 24, 8269
94, 45, 8303
89, 71, 8299
110, 46, 8303
103, 43, 8279
107, 49, 8286
118, 31, 8332
120, 11, 8378
108, 4, 8321
100, 0, 8244
105, -10, 8270
87, -17, 8281
83, 7, 8317
96, 24, 8325
70, 34, 8331
103, 33, 8312
102, 31, 8302
80, 36, 8295
97, 38, 8300
100, 29, 8299
104, 30, 8307
96, 27, 8290
79, 21, 8304
91, 33, 8292
90, 23, 8294
97, 33, 8323
103, 11, 8309
115, 16, 8303
105, 1, 8319
94, 10, 8285
98, 13, 8286
98, 31, 8301
111, 23, 8313
90, 21, 8305
91, 34, 8283
83, 32, 8282
85, 11, 8290
93, 17, 8294
117, 17, 8309
124, 20, 8283
126, 18, 8299
115, 16, 8328
118, 18, 8310
107, 17, 8311
95, 24, 8286
86, 11, 8282
89, 12, 8308
76, 13, 8299
81, 21, 8312
79, 41, 8305
83, 34, 8297
106, 41, 8293
111, 34, 8315
128, 41, 8295
125, 22, 8302
113, 16, 8300
125, 13, 8308
110, -15, 8337
84, 8, 8306
94, -10, 8266
81, 2, 8270
79, -1, 8302
96, 25, 8283
83, 23, 8325
96, 42, 8307
106, 33, 8297
104, 49, 8315
100, 50, 8293
104, 45, 8307
88, 20, 8269
92, 31, 8309
96, 14, 8328
95, 14, 8295
94, -9, 8294
99, 7, 8274
113, 0, 8320
105, 2, 8306
95, -9, 8297
112, -4, 8301
101, 1, 8303
105, 10, 8293
98, 24, 8275
94, 22, 8295
96, 36, 8326
89, 58, 8304
89, 55, 8293
97, 38, 8304
96, 23, 8302
98, 23, 8326
87, -4, 8293
92, 2, 8300
89, 5, 8263
101, 14, 8261
90, 13, 8313
108, 26, 8230
121, 21, 8306
112, 10, 8311
114, 12, 8246
124, 51, 7834
128, -33, 7837
71, 95, 8231
95, 28, 8401
56, 87, 8240
65, 23, 8356
84, 51, 8377
79, 18, 8340
124, 20, 8549
114, -10, 8410
92, 34, 7961
115, -11, 8222
75, 30, 8214
97, 32, 8282
105, -7, 8314
112, 15, 8273
117, 20, 8283
122, 37, 8370
115, 17, 8340
126, 13, 8290
112, 31, 8229
85, 39, 8305
111, -1, 8264
94, -12, 8397
58, 21, 8357
81, 13, 8379
99, -4, 8292
81, 17, 8266
84, 6, 8299
122, 12, 8324
87, 22, 8329
102, 37, 8268
104, 30, 8287
114, 46, 8308
102, 73, 8144
99, 51, 8632
101, 51, 8529
89, -25, 8131
92, 0, 8223
124, -8, 8320
86, 6, 8329
79, 12, 8329
91, 12, 8259
75, 30, 8220
103, 40, 8358
117, 55, 8375
130, 12, 8314
116, 32, 8325
104, 23, 8290
130, 29, 8314
117, 0, 8238
118, -21, 8270
103, -8, 8300
88, 3, 8272
90, -6, 8313
89, -16, 8281
79, 18, 8291
84, 19, 8290
85, 33, 8302
88, 54, 8354
111, 63, 8321
84, 70, 8329
92, 57, 8253
91, 46, 8270
90, 37, 8288
109, 11, 8289
90, 26, 8307
96, -1, 8292
101, 17, 8266
114, -1, 8295
104, -12, 8296
97, 15, 8321
120, 15, 8319
93, 3, 8278
91, 16, 8304
87, 21, 8303
73, 37, 8306
82, 42, 8297
74, 50, 8292
105, 32, 8328
110, 29, 8302
103, 26, 8286
125, 1, 8318
104, 0, 8284
104, -16, 8276
84, 1, 8277
79, 12, 8297
69, 17, 8288
68, 31, 8301
92, 25, 8293
106, 17, 8297
87, 32, 8328
118, 37, 8282
110, 32, 8355
105, 31, 8277
105, 44, 8321
89, 39, 8279
86, -212, 8279
87, 37, 8158
101, 17, 8249
68, 34, 8328
75, 37, 8335
115, 11, 8352
82, 41, 8314
104, 30, 8302
94, 55, 8268
91, 32, 8332
96, 59, 8323
87, 45, 8189
101, 6, 8213
116, 23, 8429
128, 9, 8413
126, 13, 8265
112, 11, 8257
102, 17, 8276
102, 19, 8322
104, 24, 8306
81, 18, 8275
82, 40, 8310
90, 5, 8286
83, 24, 8308
100, 21, 8300
88, 11, 8298
115, -3, 8284
105, 253, 8289
98, 18, 8290
118, 24, 8299
114, 22, 8326
92, 22, 8335
99, 37, 8293
104, 49, 8270
106, 50, 8318
92, 65, 8317
77, 67, 8314
94, 41, 8303
73, 44, 8290
67, 18, 8300
86, 13, 8297
90, 19, 8315
93, 16, 8286
104, 20, 8277
104, 28, 8305
107, 22, 8317
119, 17, 8334
105, 22, 8295
120, -16, 8268
122, -22, 8299
114, -19, 8300
117, -13, 8305
112, 5, 8337
92, 45, 8303
89, 35, 8306
85, 48, 8297
83, 59, 8311
69, 54, 8302
80, 44, 8302
83, 39, 8310
82, 24, 8284
99, 15, 8326
113, 6, 8309
112, 4, 8280
98, 8, 8250
102, 12, 8300
106, 5, 8332
86, 19, 8332
88, 14, 8247
86, 29, 8296
89, 17, 8346
107, 20, 8282
88, 23, 8294
100, 28, 8270
82, 18, 8277
93, 11, 8306
88, 20, 8276
101, 20, 8307
96, 35, 8306
85, 29, 8291
105, 30, 8267
104, 33, 8295
99, 12, 8325
