=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.03.24 16:34:51 =~=~=~=~=~=~=~=~=~=~=~=
Smoothing factor 0.30
X, Y, Z
166, 26, 11646
123, 9, 8197
117, 44, 5711
86, 28, 3984
103, 16, 2746
103, 25, 1930
106, -7, 1286
159, -60, 908
143, -57, 623
188, -5, 430
152, -14, 224
128, -4, 167
85, -12, 23
89, -29, 59
75, -63, -33
68, -42, -72
70, -38, -78
50, -29, -101
39, -45, -195
50, -36, -156
44, -4, -167
50, 11, -71
53, -80, -65
53, -27, -64
50, -22, -100
42, -14, -6
55, -21, -15
130, -21, -73
103, -40, -49
94, -55, -55
75, -55, -102
76, -40, -75
39, -36, -49
41, -25, 12
122, -16, 9
104, -9, -39
91, -46, -11
50, 5, 10
59, -3, -77
47, 24, -55
4, -24, -9
6, -26, 45
12, -33, 82
2, -34, 48
10, -105, 10
17, -89, 79
15, -60, 117
98, -46, 21
69, -30, -40
59, -14, 2
57, -18, -31
50, -6, -40
41, -1, 32
5, 42, 8
11, 19, 3
6, 27, -60
11, 21, -60
18, 19, -81
100, 57, -36
83, 28, -36
72, 6, -115
71, -13, -65
65, -10, -33
67, 29, 54
60, -9, 42
62, -13, -37
51, -6, 26
53, -7, -80
131, -35, -89
128, -32, -44
93, -43, -40
68, -20, -77
57, -102, -19
26, -64, -82
19, -133, -118
34, -138, -53
39, -176, 9
35, -146, -36
41, -98, -74
-26, -68, -80
10, -58, -77
18, -51, -1
50, -59, -100
42, -47, -63
64, -37, -19
66, -24, -12
28, 2, 25
16, 25, 58
14, 75, -32
-29, 30, -13
-4, 12, -17
7, -28, -169
23, -47, -119
32, -6, -75
43, 6, 13
40, -6, 14
121, -43, -2
126, -73, 38
105, -78, 46
106, -52, 30
88, -46, 56
78, -39, 113
75, -39, 99
69, -36, 14
70, -24, -44
65, -7, -16
55, -25, -18
54, -17, -42
127, -39, -109
106, -38, -75
77, -49, -99
69, -50, -153
59, -54, -70
78, -57, -125
83, -22, -169
86, 7, -151
75, -82, -105
77, -77, -55
75, -61, -52
75, -52, -58
69, -28, -91
59, -2, -137
43, -13, -158
31, -4, -175
18, 22, -115
27, 1, -21
31, -8, 4
2, -35, 3
24, -8, -21
40, -38, -64
55, 1, -68
47, -17, 25
44, -2, -9
25, 12, 32
22, -78, 41
29, -50, 77
44, -50, 25
115, -41, -50
104, -23, -26
84, 15, -68
35, -11, -73
32, -13, -85
-10, -39, -66
-1, -34, -104
60, -14, -136
64, -15, -134
59, -4, -41
18, -19, 31
32, -39, 11
101, -9, -14
76, -17, -50
149, -3, -7
147, -21, 2
111, -37, -37
98, -42, -77
75, -40, -92
58, -7, -144
43, -21, -118
118, -51, -52
95, -46, -23
74, -47, 30
75, -38, -15
54, -108, 67
80, -78, 97
70, -57, 114
141, -12, 69
126, -9, 46
106, 36, 68
66, 2, 53
63, -5, 16
63, 23, 49
92, 14, 29
78, 0, 26
1, -33, 40
45, -12, 64
49, -19, 4
43, -27, 27
60, -35, 3
50, -46, -32
68, -51, -33
63, -116, -67
34, -71, -29
45, -43, -57
38, -10, 11
56, -46, 12
59, -43, 10
5, -23, -2
22, -15, 18
24, 6, 39
-19, 15, 8
-10, 9, 47
11, 3, 17
-23, 21, -4
-11, -8, -3
16, 22, -87
22, 13, -89
21, -68, -34
14, -39, -79
10, -20, -85
14, -44, -25
30, -22, 93
29, -60, 50
50, -66, 76
57, -51, 63
-15, -42, 58
-2, -45, 88
14, -2, 29
38, -9, 77
37, -14, 84
54, -23, 99
51, 3, 98
48, 4, 54
48, 14, -7
29, -7, 28
36, -15, 15
-30, -33, -54
3, -35, -23
22, -43, 2
40, -77, -11
35, -67, 4
41, -52, -53
5, -88, -25
25, -77, -13
63, -68, -89
63, -60, -28
62, -52, 18
25, -4, -52
25, -5, -34
37, 40, 32
28, 13, -29
40, 7, -78
3, -6, -45
4, -3, -98
22, -28, -101
18, -11, -37
21, -92, -82
15, -72, -56
17, -63, -25
-40, -50, 56
0, -48, -16
-1, -46, 10
13, -25, -79
23, -33, -121
36, -19, -71
42, -26, -59
27, -59, -44
-6, -67, -38
8, -124, -23
21, -92, 46
25, -67, 59
30, -65, 68
1, -51, -7
