=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.04.05 15:45:50 =~=~=~=~=~=~=~=~=~=~=~=
Smoothing factor 0.30
X, Y, Z
6, 0, -12
6, 2, -20
7, 6, -22
7, 6, -20
7, 5, -26
11, 5, -26
10, 7, -26
8, 8, -26
7, 13, -29
4, 12, -32
5, 11, -38
8, 11, -42
8, 12, -39
9, 10, -40
7, 12, -40
6, 11, -42
6, 12, -39
10, 10, -41
13, 12, -42
16, 15, -40
8, 16, -43
10, 14, -39
7, 17, -39
8, 16, -39
13, 16, -36
11, 17, -43
12, 14, -37
14, 14, -41
12, 16, -39
14, 14, -36
10, 16, -32
8, 16, -31
8, 16, -33
10, 16, -32
12, 16, -37
10, 14, -37
14, 14, -33
12, 15, -34
14, 15, -32
11, 12, -32
11, 7, -31
13, 10, -38
10, 10, -34
6, 12, -33
8, 13, -36
10, 13, -35
10, 15, -39
9, 17, -37
7, 17, -38
7, 19, -37
9, 17, -40
10, 19, -46
7, 17, -43
10, 17, -47
12, 14, -42
7, 14, -41
4, 15, -47
11, 16, -43
10, 20, -50
4, 18, -45
6, 16, -46
10, 14, -40
9, 13, -39
11, 13, -39
8, 12, -37
7, 9, -38
13, 11, -35
12, 13, -33
11, 8, -31
11, 10, -34
11, 12, -36
13, 13, -30
9, 15, -33
11, 15, -29
11, 16, -31
13, 11, -32
6, 14, -38
4, 13, -40
6, 8, -38
11, 10, -36
15, 12, -31
6, 13, -33
6, 15, -32
9, 18, -37
9, 19, -40
7, 19, -40
7, 17, -44
12, 17, -39
10, 17, -41
7, 15, -41
4, 19, -41
4, 19, -39
7, 14, -36
10, 13, -40
14, 14, -36
13, 13, -32
9, 16, -35
10, 16, -37
15, 16, -33
15, 14, -31
13, 13, -33
9, 11, -35
10, 14, -35
14, 12, -33
13, 14, -35
12, 11, -34
13, 11, -32
13, 9, -28
11, 9, -28
9, 8, -26
9, 8, -27
11, 8, -29
8, 4, -29
8, 5, -28
5, 5, -31
10, 6, -27
8, 8, -30
8, 11, -35
6, 11, -38
13, 15, -41
11, 19, -41
11, 16, -42
10, 16, -40
10, 17, -43
16, 16, -46
15, 20, -45
10, 22, -47
7, 19, -45
8, 19, -46
7, 18, -40
6, 17, -37
10, 14, -38
11, 12, -34
11, 14, -31
12, 15, -31
14, 12, -30
17, 9, -33
16, 10, -31
13, 9, -32
15, 11, -32
15, 9, -29
18, 7, -32
13, 8, -33
15, 8, -30
17, 10, -30
12, 13, -33
10, 15, -37
6, 16, -40
7, 13, -43
9, 12, -43
11, 17, -40
12, 18, -43
5, 13, -41
1, 15, -43
7, 14, -45
5, 15, -45
7, 15, -45
3, 13, -44
4, 14, -44
2, 15, -43
5, 14, -47
3, 15, -44
5, 12, -35
3, 12, -37
4, 13, -42
6, 17, -42
8, 16, -41
10, 16, -35
9, 16, -38
10, 15, -36
13, 15, -35
15, 11, -32
15, 8, -32
12, 7, -35
11, 11, -36
9, 13, -31
5, 12, -34
8, 12, -35
11, 14, -33
14, 13, -30
17, 12, -36
18, 16, -37
17, 17, -40
15, 14, -37
11, 13, -43
12, 13, -46
13, 13, -46
11, 14, -45
8, 12, -42
10, 10, -46
9, 15, -45
10, 16, -43
9, 16, -43
9, 16, -47
13, 15, -48
12, 15, -41
9, 13, -42
9, 11, -42
11, 14, -44
5, 9, -46
8, 11, -43
8, 13, -42
9, 13, -38
10, 11, -38
13, 11, -35
16, 14, -33
14, 11, -33
15, 11, -33
13, 14, -33
16, 10, -36
16, 14, -37
16, 13, -37
13, 13, -34
10, 16, -38
12, 15, -34
10, 14, -36
13, 13, -34
10, 14, -29
10, 17, -27
11, 12, -27
7, 13, -32
6, 15, -39
5, 13, -44
5, 16, -39
7, 14, -43
6, 13, -45
10, 14, -41
7, 14, -40
9, 11, -43
8, 13, -41
5, 15, -38
4, 13, -38
6, 10, -44
7, 7, -38
10, 7, -42
11, 8, -42
9, 9, -40
15, 12, -34
17, 14, -33
18, 12, -35
18, 11, -32
17, 12, -32
13, 12, -32
13, 12, -30
15, 11, -28
16, 11, -25
17, 10, -25
11, 8, -28
8, 11, -32
15, 10, -28
16, 10, -27
13, 10, -32
10, 8, -34
13, 10, -38
13, 7, -32
11, 12, -36
10, 13, -41
7, 15, -41
8, 14, -41
6, 11, -38
6, 10, -38
3, 12, -39
1, 13, -40
5, 15, -42
7, 14, -43
4, 14, -41
2, 15, -41
3, 16, -42
4, 15, -38
5, 15, -38
9, 16, -35
13, 12, -36
9, 12, -39
12, 14, -36
11, 12, -40
14, 12, -35
15, 11, -32
13, 11, -32
15, 11, -32
13, 9, -32
16, 12, -30
17, 12, -25
14, 9, -28
14, 7, -28
14, 8, -26
15, 7, -27
14, 12, -30
13, 14, -32
7, 14, -34
13, 13, -31
9, 16, -34
7, 17, -34
8, 16, -29
5, 17, -34
8, 18, -35
6, 23, -38
6, 21, -37
3, 21, -38
3, 17, -46
6, 12, -42
5, 11, -44
7, 11, -41
3, 13, -41
6, 11, -37
7, 9, -36
3, 10, -38
3, 13, -38
1, 13, -39
6, 12, -34
9, 15, -33
10, 15, -33
10, 13, -30
10, 11, -29
9, 8, -30
12, 9, -28
7, 8, -29
4, 6, -26
10, 7, -27
10, 8, -30
11, 9, -35
10, 10, -33
7, 13, -32
12, 10, -28
13, 8, -34
9, 8, -34
8, 10, -41
6, 13, -39
8, 12, -35
8, 10, -38
8, 12, -38
5, 14, -38
2, 15, -35
6, 16, -38
5, 17, -42
5, 18, -41
6, 12, -46
8, 15, -42
5, 20, -41
9, 16, -35
15, 18, -31
11, 16, -37
10, 12, -37
9, 13, -40
9, 12, -38
8, 15, -41
8, 16, -43
8, 16, -40
9, 17, -37
7, 12, -41
11, 13, -36
11, 14, -35
11, 15, -34
12, 12, -30
11, 8, -30
12, 6, -33
9, 8, -34
9, 11, -37
11, 10, -34
10, 11, -38
7, 13, -37
7, 13, -35
9, 16, -37
8, 16, -38
10, 12, -43
6, 12, -43
7, 11, -46
5, 10, -45
6, 10, -44
9, 10, -48
7, 11, -46
10, 9, -45
8, 12, -45
6, 13, -45
4, 16, -43
9, 13, -43
16, 12, -37
10, 14, -36
8, 14, -42
8, 14, -33
8, 15, -35
6, 15, -34
9, 10, -33
11, 10, -33
14, 11, -31
11, 13, -34
12, 11, -32
13, 12, -31
12, 13, -34
8, 15, -36
11, 11, -37
8, 12, -36
8, 16, -38
10, 14, -35
13, 14, -32
8, 13, -35
9, 9, -32
10, 12, -39
7, 9, -41
5, 12, -43
10, 13, -38
10, 15, -39
10, 13, -44
10, 15, -44
9, 17, -44
8, 10, -38
9, 7, -40
10, 9, -45
8, 9, -42
8, 12, -44
9, 15, -41
10, 16, -40
8, 16, -39
6, 16, -37
7, 13, -39
7, 14, -40
9, 13, -37
6, 16, -34
6, 16, -36
8, 12, -39
7, 12, -37
11, 12, -33
11, 10, -30
12, 8, -28
10, 8, -30
15, 9, -30
13, 9, -31
12, 10, -30
10, 13, -30
10, 10, -36
8, 10, -37
6, 9, -38
7, 8, -39
8, 9, -39
7, 14, -41
7, 17, -37
6, 18, -42
10, 18, -43
10, 17, -40
5, 17, -43
8, 16, -42
11, 16, -43
7, 18, -47
5, 18, -44
7, 18, -45
9, 17, -39
11, 13, -37
9, 14, -36
7, 13, -40
13, 7, -42
14, 7, -39
13, 5, -38
13, 6, -34
16, 9, -34
16, 9, -32
14, 7, -28
12, 7, -28
14, 6, -26
7, 6, -27
8, 7, -28
7, 12, -33
10, 13, -36
10, 12, -35
8, 13, -36
11, 10, -34
11, 13, -36
10, 17, -32
4, 12, -39
6, 12, -36
11, 11, -40
10, 11, -39
11, 12, -40
10, 9, -43
11, 13, -44
8, 12, -49
12, 12, -49
15, 10, -46
13, 12, -44
8, 12, -42
5, 12, -41
9, 12, -37
8, 15, -37
10, 11, -34
9, 15, -37
9, 12, -42
8, 14, -39
9, 11, -40
10, 12, -36
12, 11, -33
14, 13, -31
16, 13, -28
13, 13, -33
15, 11, -31
14, 9, -21
14, 9, -22
15, 9, -30
15, 7, -33
17, 8, -29
14, 8, -33
13, 8, -35
10, 11, -40
7, 15, -39
3, 14, -38
7, 14, -37
9, 12, -37
8, 13, -37
10, 14, -37
6, 12, -40
10, 9, -43
9, 10, -45
9, 13, -45
9, 14, -43
9, 18, -43
11, 16, -43
8, 14, -42
9, 13, -37
